DEPARTAMENTO_CIRC;SECCIONAL - CIRCUNSCRICAO;MUNICIPIO - CIRCUNSCRICAO;DP - CIRCUNSCRICAO ;HD;Nº DE VÍT HD;ID_DELEGACIA;mês;ANO ESTATISTICA;DATAHORA_REGISTRO_BO;NUM_BO;ANO_BO;CIDADE;DP_ELABORACAO;SEC_ELABORACAO;DEP_ELABORACAO;DATA_FATO;HORA_FATO;DESC_TIPOLOCAL;LOGRADOURO;NUMERO_LOGRADOURO;LATITUDE;LONGITUDE;TIPO_PESSOA;SEXO_PESSOA;IDADE_PESSOA;DATA_NASCIMENTO_PESSOA;COR_PELE;PROFISSAO;NATUREZA_APURADA
DECAP;1ª SEC;São Paulo;002 DP - Bom Retiro;1;1;10102;1;2017;21/01/2017;440;2017;S.PAULO;02º D.P. BOM RETIRO;DEL.SEC.1º CENTRO;DECAP;21/01/2017;17:15:00;Via pública;PRAÇA DA LUZ;1;-23,53513477;-46,63377912;Vítima;Masculino;NULL;NULL;Parda;NULL;HOMICÍDIO DOLOSO
DECAP;1ª SEC;São Paulo;012 DP - Pari;1;1;10108;1;2017;24/01/2017;489;2017;S.PAULO;08º D.P. BRAS;DEL.SEC.1º CENTRO;DECAP;24/01/2017;16:32:00;Via pública;RUA JOAQUIM CARLOS;1379;-23,52474199;-46,60838216;Vítima;Masculino;NULL;NULL;Preta;NULL;HOMICÍDIO DOLOSO
DECAP;2ª SEC;São Paulo;035 DP - Jabaquara;1;1;10216;1;2017;15/01/2017;470;2017;S.PAULO;16º D.P. VILA CLEMENTINO;DEL.SEC.2º SUL;DECAP;15/01/2017;01:14:00;Via pública;TRAVESSA JUPATIS;110;-23,65297403;-46,64902542;Vítima;Masculino;33;05/09/1983;Parda;DESEMPREGADO;HOMICÍDIO DOLOSO
DECAP;3ª SEC;São Paulo;046 DP - Perus;1;1;10333;1;2017;01/01/2017;5;2017;S.PAULO;33º D.P. PIRITUBA;DEL.SEC.3º OESTE;DECAP;01/01/2017;04:30:00;Via pública;RUA JOÃO DE BARRO;38;-23,42659925;-46,75287723;Vítima;Masculino;28;05/04/1988;Preta;CONFERENTE;HOMICÍDIO DOLOSO
DECAP;3ª SEC;São Paulo;046 DP - Perus;1;1;10346;1;2017;05/01/2017;67;2017;S.PAULO;46º D.P. PERUS;DEL.SEC.3º OESTE;DECAP;05/01/2017;10:40:00;Rodovia/Estrada;RODOVIA SP 348;27;-23,40666907;-46,76752589;Vítima;Masculino;20;25/03/1996;Preta;DESEMPREGADO;HOMICÍDIO DOLOSO
DECAP;3ª SEC;São Paulo;046 DP - Perus;1;1;10333;1;2017;31/01/2017;698;2017;S.PAULO;33º D.P. PIRITUBA;DEL.SEC.3º OESTE;DECAP;31/01/2017;21:10:00;Via pública;RUA BEIJA FLOR;65;-23,41420823;-46,7505133;Vítima;Masculino;51;04/09/1965;Branca;NULL;HOMICÍDIO DOLOSO
DECAP;3ª SEC;São Paulo;089 DP - Portal do Morumbi;1;1;10356;1;2017;08/01/2017;175;2017;S.PAULO;89º D.P. JARDIM TABOAO;DEL.SEC.3º OESTE;DECAP;08/01/2017;18:20:00;Via pública;AVENIDA HEBE CAMARGO;300;-23,62228981;-46,72673383;Vítima;Masculino;NULL;NULL;Parda;NULL;HOMICÍDIO DOLOSO
DECAP;3ª SEC;São Paulo;091 DP - Ceagesp;;1;10357;1;2017;14/01/2017;238;2017;S.PAULO;91º D.P. CEASA;DEL.SEC.3º OESTE;DECAP;14/01/2017;05:19:00;Comércio e serviços;AVENIDA DOUTOR GASTAO VIDIGAL;1946;-23,52909924;-46,73902687;Vítima;Masculino;29;13/01/1988;Parda;FEIRANTE;HOMICÍDIO DOLOSO
DECAP;3ª SEC;São Paulo;091 DP - Ceagesp;1;1;10357;1;2017;14/01/2017;238;2017;S.PAULO;91º D.P. CEASA;DEL.SEC.3º OESTE;DECAP;14/01/2017;05:19:00;Comércio e serviços;AVENIDA DOUTOR GASTAO VIDIGAL;1946;-23,52909924;-46,73902687;Vítima;Masculino;32;07/11/1984;Parda;NULL;HOMICÍDIO DOLOSO
DECAP;4ª SEC;São Paulo;009 DP - Carandiru;1;1;20120;1;2017;17/01/2017;558;2017;S.PAULO;20º D.P. AGUA FRIA;DEL.SEC.4º NORTE;DECAP;16/01/2017;23:50:00;Entidade assistencial;AVENIDA ZAKI NARCHI;600;-23,5112668;-46,62143972;Vítima;Masculino;36;22/04/1980;Parda;DESEMPREGADO;HOMICÍDIO DOLOSO
DECAP;4ª SEC;São Paulo;040 DP - Vila Santa Maria;1;1;20113;1;2017;21/01/2017;595;2017;S.PAULO;13º D.P. CASA VERDE;DEL.SEC.4º NORTE;DECAP;21/01/2017;01:29:00;Via pública;RUA BERNARDO WRONA;10;-23,50979295;-46,67507373;Vítima;Masculino;NULL;NULL;Parda;NULL;HOMICÍDIO DOLOSO
DECAP;4ª SEC;São Paulo;045 DP - Vila Brasilândia;1;1;10335;1;2017;01/01/2017;8;2017;S.PAULO;72º D.P. VILA PENTEADO;DEL.SEC.4º NORTE;DECAP;01/01/2017;06:00:00;Via pública;RUA TABATINGA;322;-23,46374009;-46,69174517;Vítima;Masculino;30;28/11/1986;Branca;NULL;HOMICÍDIO DOLOSO
DECAP;4ª SEC;São Paulo;045 DP - Vila Brasilândia;1;1;20145;1;2017;03/01/2017;15;2017;S.PAULO;45º D.P. V BRASILANDIA;DEL.SEC.4º NORTE;DECAP;03/01/2017;15:20:00;Comércio e serviços;RUA JOAQUIM FERREIRA DA ROCHA;496;-23,46883156;-46,68931994;Vítima;Masculino;40;19/11/1976;Branca;COMERCIANTE;HOMICÍDIO DOLOSO
DECAP;4ª SEC;São Paulo;045 DP - Vila Brasilândia;1;1;10335;1;2017;20/01/2017;502;2017;S.PAULO;72º D.P. VILA PENTEADO;DEL.SEC.4º NORTE;DECAP;19/01/2017;23:11:00;Via pública;RUA NICIA COUTINHO PATRICIO;59;-23,46622579;-46,68241276;Vítima;Masculino;33;03/06/1983;Parda;PEDREIRO;HOMICÍDIO DOLOSO
DECAP;4ª SEC;São Paulo;072 DP - Vila Penteado;1;1;10335;1;2017;03/01/2017;67;2017;S.PAULO;72º D.P. VILA PENTEADO;DEL.SEC.4º NORTE;DECAP;02/01/2017;23:30:00;Via pública;PASSAGEM SALVADOR;142;-23,4589414;-46,68738017;Vítima;Masculino;19;30/08/1997;Parda;AJUDANTE;HOMICÍDIO DOLOSO
